council,option,status,final
Calderdale,https://calderdale.gov.uk/meetings/,,"HTTPSConnectionPool(host='calderdale.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='calderdale.gov.uk', port=443): Failed to resolve 'calderdale.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cambridgeshire,https://cambridgeshire.gov.uk/,,"HTTPSConnectionPool(host='cambridgeshire.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='cambridgeshire.gov.uk', port=443): Failed to resolve 'cambridgeshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cambridgeshire,https://www.cambridgeshire.gov.uk/,,"HTTPSConnectionPool(host='www.cambridgeshire.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.cambridgeshire.gov.uk', port=443): Failed to resolve 'www.cambridgeshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cambridgeshire,https://democracy.cambridgeshire.gov.uk/,,"HTTPSConnectionPool(host='democracy.cambridgeshire.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.cambridgeshire.gov.uk', port=443): Failed to resolve 'democracy.cambridgeshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cambridgeshire,https://cambridgeshire.moderngov.co.uk/,,"HTTPSConnectionPool(host='cambridgeshire.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='cambridgeshire.moderngov.co.uk', port=443): Failed to resolve 'cambridgeshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cambridgeshire,https://cambridgeshire.gov.uk/meetings/,,"HTTPSConnectionPool(host='cambridgeshire.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='cambridgeshire.gov.uk', port=443): Failed to resolve 'cambridgeshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire East,https://cheshireeast.gov.uk/,,"HTTPSConnectionPool(host='cheshireeast.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='cheshireeast.gov.uk', port=443): Failed to resolve 'cheshireeast.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire East,https://www.cheshireeast.gov.uk/,,"HTTPSConnectionPool(host='www.cheshireeast.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.cheshireeast.gov.uk', port=443): Failed to resolve 'www.cheshireeast.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire East,https://democracy.cheshireeast.gov.uk/,,"HTTPSConnectionPool(host='democracy.cheshireeast.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.cheshireeast.gov.uk', port=443): Failed to resolve 'democracy.cheshireeast.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire East,https://cheshireeast.moderngov.co.uk/,,"HTTPSConnectionPool(host='cheshireeast.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='cheshireeast.moderngov.co.uk', port=443): Failed to resolve 'cheshireeast.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire East,https://cheshireeast.gov.uk/meetings/,,"HTTPSConnectionPool(host='cheshireeast.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='cheshireeast.gov.uk', port=443): Failed to resolve 'cheshireeast.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire West and Chester,https://cheshirewestandchester.gov.uk/,,"HTTPSConnectionPool(host='cheshirewestandchester.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='cheshirewestandchester.gov.uk', port=443): Failed to resolve 'cheshirewestandchester.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
