name,council,reason
Daniel Matchett,Lancashire,missing_register_url
David Shaw,Lancashire,missing_register_url
Ella Worthington,Lancashire,missing_register_url
Eddie Kutavicius,Lancashire,missing_register_url
Ellie Close,Lancashire,missing_register_url
Fred Cottam,Lancashire,missing_register_url
Gary Kniveton,Lancashire,missing_register_url
Gaynor Hargreaves,Lancashire,missing_register_url
Ged Mirfin,Lancashire,missing_register_url
Graham Dalton,Lancashire,missing_register_url
Hannah Whalley,Lancashire,missing_register_url
Ian Duxbury,Lancashire,missing_register_url
James Crawford,Lancashire,missing_register_url
Graeme Austin,Lancashire,missing_register_url
James Tomlinson,Lancashire,missing_register_url
Jan Schofield,Lancashire,missing_register_url
Joanne Ash,Lancashire,missing_register_url
Joel Tetlow,Lancashire,missing_register_url
John Clemson,Lancashire,missing_register_url
Jordan Fox,Lancashire,missing_register_url
Lee Hutchinson,Lancashire,missing_register_url
Joshua Roberts,Lancashire,missing_register_url
Leon Graham,Lancashire,missing_register_url
Liam Thomson,Lancashire,missing_register_url
Lance Parkinson,Lancashire,missing_register_url
Lorenzo More,Lancashire,missing_register_url
Mackenzie Ritson,Lancashire,missing_register_url
Maria Jones,Lancashire,missing_register_url
Luke Parker,Lancashire,missing_register_url
Marion Atkinson,Lancashire,missing_register_url
Mark Wade,Lancashire,missing_register_url
Mark Poulton,Lancashire,missing_register_url
Matthew Salter,Lancashire,missing_register_url
Martyn Sutton,Lancashire,missing_register_url
Martin Topp,Lancashire,missing_register_url
Nathan McCollum,Lancashire,missing_register_url
Nigel Alderson,Lancashire,missing_register_url
Rick Edwards,Lancashire,missing_register_url
Nigel Swales,Lancashire,missing_register_url
Russell Walsh,Lancashire,missing_register_url
Shaun Crimmins,Lancashire,missing_register_url
Simon Evans,Lancashire,missing_register_url
Simon Gummer,Lancashire,missing_register_url
Stephen Atkinson,Lancashire,missing_register_url
Tom Lord,Lancashire,missing_register_url
Tom Pickup,Lancashire,missing_register_url
Warren Goldsworthy,Lancashire,missing_register_url
Adam Tilbury,Leicestershire,missing_register_url
Andrew Hamilton-Gray,Leicestershire,missing_register_url
Andrew Innes,Leicestershire,missing_register_url
Andrew Thorp,Leicestershire,missing_register_url
Charles Pugsley,Leicestershire,missing_register_url
Carl Abbott,Leicestershire,missing_register_url
Bill Piper,Leicestershire,missing_register_url
Charles Whitford,Leicestershire,missing_register_url
Dan Harrison,Leicestershire,missing_register_url
Graham Cooke,Leicestershire,missing_register_url
Helen Butler,Leicestershire,missing_register_url
Harrison Fowler,Leicestershire,missing_register_url
John McDonald,Leicestershire,missing_register_url
John Bloxham,Leicestershire,missing_register_url
Joseph Boam,Leicestershire,missing_register_url
Kerry Knight,Leicestershire,missing_register_url
Kevin Crook,Leicestershire,missing_register_url
Linda Danks,Leicestershire,missing_register_url
Kim Robinson,Leicestershire,missing_register_url
Martin England,Leicestershire,missing_register_url
Michael Squires,Leicestershire,missing_register_url
Paul Harrison,Leicestershire,missing_register_url
Paul Rudkin,Leicestershire,missing_register_url
Peter Morris,Leicestershire,missing_register_url
Virge Richichi,Leicestershire,missing_register_url
Adrian Findley,Lincolnshire,missing_register_url
Alex McGonigle,Lincolnshire,missing_register_url
Alan Woodruff,Lincolnshire,missing_register_url
Matthew Wallens,Lichfield,missing_register_url
Alistair Arundell,Lincolnshire,missing_register_url
Barry Daish,Lincolnshire,missing_register_url
Bayleigh Robinson,Lincolnshire,missing_register_url
Cain Parkinson,Lincolnshire,missing_register_url
Carl Edgoose-Zagorskiy,Lincolnshire,missing_register_url
Christopher Reeve,Lincolnshire,missing_register_url
Courtney Robinson,Lincolnshire,missing_register_url
Danny Brookes,Lincolnshire,missing_register_url
David East,Lincolnshire,missing_register_url
Jane King,Lincolnshire,missing_register_url
Jimmy Brookes,Lincolnshire,missing_register_url
James Bean,Lincolnshire,missing_register_url
Jane Smith,Lincolnshire,missing_register_url
Brenda Collier,Lincolnshire,missing_register_url
Kenneth Bamford,Lincolnshire,missing_register_url
Liam Kelly,Lincolnshire,missing_register_url
Maggie Cullen,Lincolnshire,missing_register_url
Manzur Hasan,Lincolnshire,missing_register_url
Maria Hume,Lincolnshire,missing_register_url
Michael Cheyne,Lincolnshire,missing_register_url
Ingrid Sheard,Lincolnshire,missing_register_url
Natalie Oliver,Lincolnshire,missing_register_url
Neil Carey,Lincolnshire,missing_register_url
Kenneth Redfern,Lincolnshire,missing_register_url
Philip Roberts,Lincolnshire,missing_register_url
Paul Lock,Lincolnshire,missing_register_url
Mike Beecham,Lincolnshire,missing_register_url
Paul Wimhurst,Lincolnshire,missing_register_url
Raymond Condell,Lincolnshire,missing_register_url
Nick Hastings,Lincolnshire,missing_register_url
Robbie Woods,Lincolnshire,missing_register_url
Richard Litchfield,Lincolnshire,missing_register_url
Raymond Whitaker,Lincolnshire,missing_register_url
Robert Gibson,Lincolnshire,missing_register_url
Steve Clegg,Lincolnshire,missing_register_url
Sean Matthews,Lincolnshire,missing_register_url
Sam French,Lincolnshire,missing_register_url
Thomas Catton,Lincolnshire,missing_register_url
Stuart Grantham,Lincolnshire,missing_register_url
Thomas Sneath,Lincolnshire,missing_register_url
Trevor Bridgwood,Lincolnshire,missing_register_url
Matthew McLean,North Ayrshire,missing_register_url
Stewart Ferguson,North Ayrshire,missing_register_url
Barry Answer,Mansfield,missing_register_url
Martin Wright,Mansfield,missing_register_url
Stephen Reed,North East Derbyshire,missing_register_url
David Finch,Medway,missing_register_url
Mick Barton,Mansfield,missing_register_url
John Vye,Medway,missing_register_url
Oliver Freeston,North East Lincolnshire,missing_register_url
David Bick,Norfolk,missing_register_url
Julian Kirk,Norfolk,missing_register_url
Andy Sims,North Northamptonshire,missing_register_url
Barry O'Brien,North Northamptonshire,missing_register_url
Ash Hall,North Northamptonshire,missing_register_url
Brendon Lovell-Moore,North Northamptonshire,missing_register_url
Brian Benneyworth,North Northamptonshire,missing_register_url
Chris McGiffen,North Northamptonshire,missing_register_url
Chris Kellett,North Northamptonshire,missing_register_url
Chris Munday,North Northamptonshire,missing_register_url
Darren Rance,North Northamptonshire,missing_register_url
David Donnelly,North Northamptonshire,missing_register_url
Denis McLean,North Northamptonshire,missing_register_url
Eddie McDonald,North Northamptonshire,missing_register_url
Frank Kilgallon,North Northamptonshire,missing_register_url
Elizabeth Wright,North Northamptonshire,missing_register_url
Graham Cheatley,North Northamptonshire,missing_register_url
Gordon Dunsmuir,North Northamptonshire,missing_register_url
Gavin Beales,North Northamptonshire,missing_register_url
Gregory Wilcox,North Northamptonshire,missing_register_url
Jack Goncalvez,North Northamptonshire,missing_register_url
Helen Campbell,North Northamptonshire,missing_register_url
Jan O'Hara,North Northamptonshire,missing_register_url
John Lumsden,North Northamptonshire,missing_register_url
Jonathan Carvetta,North Northamptonshire,missing_register_url
Joseph Garner,North Northamptonshire,missing_register_url
Julie Howe,North Northamptonshire,missing_register_url
Julie Lumsden,North Northamptonshire,missing_register_url
Keith Clarke,North Northamptonshire,missing_register_url
Ken Harrington,North Northamptonshire,missing_register_url
Kirk Harrison,North Northamptonshire,missing_register_url
Leon Gibbs,North Northamptonshire,missing_register_url
Martin Griffiths,North Northamptonshire,missing_register_url
Matt Davies,North Northamptonshire,missing_register_url
Maurice Eglin,North Northamptonshire,missing_register_url
Paul Brooke,North Northamptonshire,missing_register_url
Robert Bloom,North Northamptonshire,missing_register_url
Steve Clark,North Northamptonshire,missing_register_url
Trevor Conway,North Northamptonshire,missing_register_url
Vinnie Whitrow,North Northamptonshire,missing_register_url
Steve Watson,North Warwickshire,missing_register_url
Vlaho Radin,North Northamptonshire,missing_register_url
Stuart Davies,North Somerset,missing_register_url
Sue Guilmant,North Warwickshire,missing_register_url
Mike Jordan,North Yorkshire,missing_register_url
Tony Saffell,North West Leicestershire,missing_register_url
David FitzGerald,Northumberland,missing_register_url
Barry Elliott,Northumberland,missing_register_url
Arty Hume,Northumberland,missing_register_url
John Allen,Northumberland,missing_register_url
Karl Green,Northumberland,missing_register_url
David Swinhoe,Northumberland,missing_register_url
Mark Peart,Northumberland,missing_register_url
Martin Jackson,Northumberland,missing_register_url
Natalie Rolls,Northumberland,missing_register_url
Nicole Brooke,Northumberland,missing_register_url
Ben Audsley,Northumberland,missing_register_url
David Johnson,Northumberland,missing_register_url
Denise Nicholson,Northumberland,missing_register_url
Patrick Lambert,Northumberland,missing_register_url
Rick Baker,Northumberland,missing_register_url
Roger Spriddell,Northumberland,missing_register_url
Pauline Davidson,Northumberland,missing_register_url
Scott Amery,Northumberland,missing_register_url
Shaun Knowles,Northumberland,missing_register_url
Sonia Simm,Northumberland,missing_register_url
Steven Roberts,Northumberland,missing_register_url
Trevor Austin,Northumberland,missing_register_url
Stephen Flower,Northumberland,missing_register_url
Alan Bite,Nottinghamshire,missing_register_url
Andy McCormack,Nottinghamshire,missing_register_url
Bert Bingham,Nottinghamshire,missing_register_url
Barry Answer,Nottinghamshire,missing_register_url
Brian Wheatcroft,Nottinghamshire,missing_register_url
Cathy Mason,Nottinghamshire,missing_register_url
Christopher Adegoke,Nottinghamshire,missing_register_url
Daniel Saban,Nottinghamshire,missing_register_url
David Clark,Nottinghamshire,missing_register_url
Desmond Clarke,Nottinghamshire,missing_register_url
Dawn Justice,Nottinghamshire,missing_register_url
Faz Choudhury,Nottinghamshire,missing_register_url
Glyn Pepper,Nottinghamshire,missing_register_url
Hana John,Nottinghamshire,missing_register_url
James Gamble,Nottinghamshire,missing_register_url
James Rawson,Nottinghamshire,missing_register_url
James Walker-Gurley,Nottinghamshire,missing_register_url
Jan Goold,Nottinghamshire,missing_register_url
Jody Stoll,Nottinghamshire,missing_register_url
John Doddy,Nottinghamshire,missing_register_url
John Semens,Nottinghamshire,missing_register_url
Kelvin Wright,Nottinghamshire,missing_register_url
Joseph Rich,Nottinghamshire,missing_register_url
Kev Dale,Nottinghamshire,missing_register_url
Kevin Brown,Nottinghamshire,missing_register_url
Martin Wright,Nottinghamshire,missing_register_url
Mick Barton,Nottinghamshire,missing_register_url
Mike Robertson,Nottinghamshire,missing_register_url
Paul Brill,Nottinghamshire,missing_register_url
Richard Lowe,Nottinghamshire,missing_register_url
Richard Darrington,Nottinghamshire,missing_register_url
Richard Ward,Nottinghamshire,missing_register_url
Rory Green,Nottinghamshire,missing_register_url
Russell Dodd,Nottinghamshire,missing_register_url
Hao Du,Oxfordshire,missing_register_url
Simon Wright,Nottinghamshire,missing_register_url
Terry Cox,Nottinghamshire,missing_register_url
Warren Limber,Nottinghamshire,missing_register_url
Stuart Matthews,Nottinghamshire,missing_register_url
Wendy Lukacs,Nottinghamshire,missing_register_url
Claire Johnson-Wood,Powys,missing_register_url
John Gray,Renfrewshire,missing_register_url
Iain McIntosh,Powys,missing_register_url
Alec Leishman,Renfrewshire,missing_register_url
Geoff Morgan,Powys,missing_register_url
Karl Lewis,Powys,missing_register_url
Ingrid Sheard,South Holland,missing_register_url
Jane King,South Holland,missing_register_url
Manzur Hasan,South Holland,missing_register_url
Thomas Sneath,South Holland,missing_register_url
Robert Gibson,South Holland,missing_register_url
Poppy Corbett,South Lanarkshire,missing_register_url
Jim Vernon,Nottinghamshire,missing_register_url
Ross Lambie,South Lanarkshire,missing_register_url
John Pinnington,St. Helens,missing_register_url
Victor Floyd,St. Helens,missing_register_url
Adam Griffiths,Staffordshire,missing_register_url
Alex Hunt,Staffordshire,missing_register_url
Andrew Clissett,Staffordshire,missing_register_url
Andrew Mynors,Staffordshire,missing_register_url
Antonia Orlandi-Fantini,Staffordshire,missing_register_url
Anthony Screen,Staffordshire,missing_register_url
Barry Martin,Staffordshire,missing_register_url
Charlotte Kelly,Staffordshire,missing_register_url
Bob Egginton,Staffordshire,missing_register_url
Chris Gilbert,Staffordshire,missing_register_url
Tony Cox,Southend-on-Sea,missing_register_url
Darryl Jones,Southend-on-Sea,missing_register_url
Craig Humphreyson,Staffordshire,missing_register_url
Chris Large,Staffordshire,missing_register_url
Daniel Cecil,Staffordshire,missing_register_url
Gary Bentley,Staffordshire,missing_register_url
Hayley Coles,Staffordshire,missing_register_url
Gordon Munro,Staffordshire,missing_register_url
Gary Hales,Staffordshire,missing_register_url
Helen Arnold,Staffordshire,missing_register_url
